"","Estado","Municipio","Colonia","id"
"724","PUEBLA","ZACAPOAXTLA","CENTRO","PU.ZA.CN"
"725","PUEBLA","ZACAPOAXTLA","XOQUITLAN 1o SECCION","PU.ZA.XX"
"726","PUEBLA","ZACAPOAXTLA","XALTETELA","PU.ZA.XA"
"727","PUEBLA","ZACAPOAXTLA","LA CONCORDIA","PU.ZA.LF"
"728","PUEBLA","ZACAPOAXTLA","XALICAN 1o SECCION","PU.ZA.XL"
"729","PUEBLA","ZACAPOAXTLA","ACUESCO","PU.ZA.AC"
"730","PUEBLA","ZACAPOAXTLA","LOS MANANTIALES","PU.ZA.LK"
"731","PUEBLA","ZACAPOAXTLA","LA LOMA","PU.ZA.LP"
"732","PUEBLA","ZAUTLA","CHILAPA DE VICENTE GUERRERO","PU.ZA.CH"
"733","PUEBLA","ZACAPOAXTLA","XOXPAN","PU.ZA.XO"
"734","PUEBLA","TEPETZINTLA","TEPETOCOMOCUATITLA","PU.TE.TE"
"735","PUEBLA","ZAUTLA","TZATZIOYAN SECCION TERCERA","PU.ZA.TZ"
"736","PUEBLA","ZAUTLA","ZOTOLA","PU.ZA.ZZ"
"737","PUEBLA","ZAUTLA","ATENO SECCION PRIMERA","PU.ZA.AN"
"738","PUEBLA","ZAUTLA","AMELTITAN","PU.ZA.AI"
"739","PUEBLA","ZAUTLA","HUITZAHUATA SECCION PRIMERA","PU.ZA.HI"
"740","PUEBLA","ZAPOTITLAN DE MENDEZ","NANACATLAN","PU.ZA.NN"
"741","PUEBLA","TEPETZINTLA","CAXTLAPANALOYA","PU.TE.CC"
"742","PUEBLA","ZAUTLA","TETITAN SECCION TERCERA","PU.ZA.TI"
"743","PUEBLA","TEPETZINTLA","TLACHIMAL","PU.TE.TL"
"744","PUEBLA","ZAUTLA","TOCHCUITAPAN SECCION SEGUNDA","PU.ZA.TC"
"745","PUEBLA","TEPETZINTLA","XALTEPEC","PU.TE.XX"
"746","PUEBLA","TEPETZINTLA","CUAUTLACOMULT","PU.TE.CU"
"747","PUEBLA","TEPETZINTLA","HUEYATLAJKO","PU.TE.HH"
"748","PUEBLA","TEPETZINTLA","AXOXOHUIL","PU.TE.AA"
"749","PUEBLA","TEPETZINTLA","TLALZINTLA","PU.TE.TA"
"750","PUEBLA","TEPETZINTLA","IXCOYOC","PU.TE.II"
"751","PUEBLA","TEPETZINTLA","TLAMANCA DE HERNANDEZ","PU.TE.TM"
"752","PUEBLA","TEPETZINTLA","TEPIZILA","PU.TE.TP"
"753","PUEBLA","TEPETZINTLA","CENTRO","PU.TE.CE"
"754","PUEBLA","TEPETZINTLA","TLAJKOTEPEC","PU.TE.TJ"
"755","PUEBLA","ZARAGOZA","XALEHUALA","PU.ZA.XE"
"756","PUEBLA","ZACAPOAXTLA","PRIMERA SECCION SAN RAFAEL","PU.ZA.PR"
"757","PUEBLA","ZACAPOAXTLA","PRIMERA SECCION COLONIA EL SOCORRO","PU.ZA.PI"
"758","PUEBLA","ZACAPOAXTLA","GONZALO BAUTISTA","PU.ZA.GG"
"759","PUEBLA","ZACAPOAXTLA","MAZAPA","PU.ZA.MZ"
"760","PUEBLA","ZACAPOAXTLA","JILOTEPEC","PU.ZA.JL"
"761","PUEBLA","ZARAGOZA","SAN JOSE BUENAVISTA","PU.ZA.SN"
"762","PUEBLA","ZARAGOZA","LA HERRADURA","PU.ZA.LQ"
"763","PUEBLA","ZARAGOZA","CENTRO","PU.ZA.CT"
"764","PUEBLA","ZAUTLA","CUAUHTEPEC SECCION SEGUNDA","PU.ZA.CP"
"765","PUEBLA","ZARAGOZA","EL CARMEN","PU.ZA.EH"
"766","PUEBLA","TEPETZINTLA","XOMETITLA","PU.TE.XO"
"767","PUEBLA","ZARAGOZA","LA PRESA","PU.ZA.LV"
"768","PUEBLA","ZARAGOZA","GUADALUPE","PU.ZA.GU"
"769","PUEBLA","ZARAGOZA","NUEVA","PU.ZA.NU"
"770","PUEBLA","ZARAGOZA","EL RINCON","PU.ZA.EK"
"771","PUEBLA","ZARAGOZA","ACUACO","PU.ZA.AU"
"772","PUEBLA","ZARAGOZA","MORELOS","PU.ZA.MR"
"773","PUEBLA","ZARAGOZA","LAS TRANCAS","PU.ZA.LW"
"774","PUEBLA","ZAUTLA","TACOMOL SECCION PRIMERA","PU.ZA.TS"
"775","PUEBLA","ZARAGOZA","NUEVO MEXICO","PU.ZA.NE"
"776","PUEBLA","TETELA DE OCAMPO","ZOYATITLA","PU.TE.ZZ"
"777","PUEBLA","ZAUTLA","SECCION 17 SEGUNDA","PU.ZA.SC"
"778","PUEBLA","ZAUTLA","SECCION 18 PRIMERA","PU.ZA.SI"
"779","PUEBLA","ZAUTLA","TLAMANCA","PU.ZA.TN"
"780","PUEBLA","ZAUTLA","OXPANTLA","PU.ZA.OO"
"781","PUEBLA","ZAUTLA","SECCION 17 PRIMERA","PU.ZA.SR"
"782","PUEBLA","ZAUTLA","SECCION 19","PU.ZA.SF"
"783","PUEBLA","ZAUTLA","SANTIAGO ZAUTLA","PU.ZA.ST"
"784","PUEBLA","ZAUTLA","CUACUILZINGO","PU.ZA.CI"
"785","PUEBLA","TEPETZINTLA","PUERTAKO","PU.TE.PP"
"786","PUEBLA","TETELA DE OCAMPO","TETELA DE OCAMPO","PU.TE.TD"
"787","PUEBLA","TETELA DE OCAMPO","CAGCAPOLA","PU.TE.CA"
"788","PUEBLA","TETELA DE OCAMPO","OMETEPETL","PU.TE.OO"
"789","PUEBLA","TETELA DE OCAMPO","TATENO","PU.TE.TN"
"790","PUEBLA","TETELA DE OCAMPO","CARRERAGCO","PU.TE.CR"
"791","PUEBLA","TETELA DE OCAMPO","SAN NICOLAS 4a SECCION","PU.TE.SN"
"792","PUEBLA","ZACAPOAXTLA","TLALCONTENO","PU.ZA.TB"
"793","PUEBLA","ZACAPOAXTLA","LA CORTADURA","PU.ZA.LX"
"794","PUEBLA","TETELA DE OCAMPO","LINDAVISTA","PU.TE.LL"
"795","PUEBLA","TETELA DE OCAMPO","XALOSTOC","PU.TE.XA"
"796","PUEBLA","ZACAPOAXTLA","TERCERA SECCION COLONIA CENTRO LA LIBERTAD","PU.ZA.TD"
"797","PUEBLA","TEPETZINTLA","ANALCO","PU.TE.AN"
"798","PUEBLA","TEPETZINTLA","TEPETZINTLA","PU.TE.TZ"
"799","PUEBLA","TEPETZINTLA","COACALCO","PU.TE.CO"
"800","PUEBLA","TEPETZINTLA","TLAJOMULCO","PU.TE.TO"
"801","PUEBLA","TEPETZINTLA","TEPETZINGO","PU.TE.TI"
"802","PUEBLA","TEPETZINTLA","MATIKILOYAN","PU.TE.MM"
"803","PUEBLA","TETELA DE OCAMPO","XALTATEMPA DE LUCAS","PU.TE.XL"
"804","PUEBLA","TETELA DE OCAMPO","CUAPANCINGO","PU.TE.CP"
"805","PUEBLA","TETELA DE OCAMPO","VENTA AHUMADA","PU.TE.VV"
"806","PUEBLA","ZAUTLA","SECCION 18 SEGUNDA","PU.ZA.SH"
"807","PUEBLA","TETELA DE OCAMPO","LAS BESANAS","PU.TE.LS"
"808","PUEBLA","TETELA DE OCAMPO","TESMOLTENO","PU.TE.TS"
"809","PUEBLA","TETELA DE OCAMPO","SAN VICENTE","PU.TE.SV"
"810","PUEBLA","TETELA DE OCAMPO","TONALAPA","PU.TE.TB"
"811","PUEBLA","TETELA DE OCAMPO","EL LLANO","PU.TE.EL"
"812","PUEBLA","TETELA DE OCAMPO","LA SOLEDAD","PU.TE.LO"
"813","PUEBLA","TETELA DE OCAMPO","LA CAÑADA","PU.TE.LC"
"814","PUEBLA","TETELA DE OCAMPO","BENITO JUAREZ","PU.TE.BB"
"815","PUEBLA","TEPETZINTLA","PLAN DE HAYAS","PU.TE.PL"
"816","PUEBLA","TETELA DE OCAMPO","COMALTECO","PU.TE.CM"
"817","PUEBLA","ZACAPOAXTLA","TEPOXAC","PU.ZA.TP"
"818","PUEBLA","ZACAPOAXTLA","TALMAYA","PU.ZA.TY"
"819","PUEBLA","ZACAPOAXTLA","2o SECCION EL PROGRESO","PU.ZA.2O"
"820","PUEBLA","ZACAPOAXTLA","XOCHITEPEC","PU.ZA.XC"
"821","PUEBLA","ZACAPOAXTLA","1a SECCION","PU.ZA.1A"
"822","PUEBLA","ZACAPOAXTLA","2a SECCION","PU.ZA.2A"
"823","PUEBLA","ZACAPOAXTLA","CUAUTENOGCO","PU.ZA.CO"
"824","PUEBLA","ZACAPOAXTLA","SAN CARLOS","PU.ZA.SK"
